title bearded seal (populations 1 and 5 = cluster 1)																							
WS7																							
LS8																							
LS16																							
LS20																							
CS18																							
CS28																							
4.2																							
6.1																							
6.3																							
8.9																							
8.1																							
PV10																							
PV11																							
Pop																							
1	,	6161	6999	5068	5353	8082	5860	5056	5254	7379	4246	6161	2828	5353									
2	,	5961	6969	4852	5357	8080	6466	5052	6464	7381	3642	5961	2828	5353									
3	,	5959	6165	5058	5353	8082	5664	5458	5050	7375	4444	5961	2828	5353									
4	,	5561	6167	5258	5359	8282	5262	4058	5454	7375	4040	5961	2828	5355									
5	,	5959	6163	4856	5563	8080	5262	5456	5254	7373	3242	5959	2828	5353									
6	,	5959	6769	5661	5355	8082	5860	5862	5458	7579	3636	5961	2828	5051									
7	,	5959	6767	5674	5561	8282	6060	4062	5054	7579	3642	5961	2828	5051									
8	,	5961	6567	4258	5355	8082	5866	5050	5054	7579	3636	5961	2830	5357									
9	,	5961	7395	6066	5353	8080	5458	5458	5454	7373	4042	5961	2828	5355									
10	,	5961	6367	5052	5559	8080	5860	5456	5054	7979	3646	5959	2828	5555									
11	,	5559	6171	4862	5357	8080	6062	5056	5454	7579	3640	5961	2228	5353									
12	,	5561	6971	5858	5761	8282	5862	5050	5066	7575	4044	6161	2828	5353									
13	,	5559	6569	5456	5353	8082	6060	4048	5054	7575	4042	6161	2828	5353									
14	,	5959	5567	4848	5153	8282	5858	5258	5460	7579	4042	5961	2828	5353									
15	,	5959	6795	4865	5361	8082	5254	4860	5054	7375	4040	5959	2830	5353									
16	,	5959	6969	5458	5355	8082	6066	5454	5060	7575	4248	5961	2830	5153									
17	,	5559	6367	5468	5157	8080	5260	5252	5054	7579	4040	5961	2828	5355									
18	,	5959	6969	5861	5357	8080	5662	5052	5262	7575	4040	5961	2828	5353									
19	,	5559	6769	4861	5353	8080	5662	5252	5464	7577	3642	6161	2428	5355									
20	,	5959	6773	4456	5359	8080	6264	5458	5464	7575	4042	5959	2828	5357									
21	,	5563	6767	5858	5357	8080	5458	5052	5254	7575	3640	5961	2828	5353									
22	,	5963	6769	5860	5761	8082	5458	5052	5054	7375	3636	5961	2828	5353									
23	,	5559	6167	4054	5353	8082	6060	5254	5256	7375	3642	5961	2828	5353									
24	,	5959	6973	4652	5559	8082	5464	5052	5060	7373	4244	5961	2828	5353									
25	,	5961	5171	5064	5759	8080	5658	4656	5454	7375	4046	5961	2828	5357									
74	,	5759	6977	3862	5353	8080	6060	5252	5054	7381	4044	6161	2828	5353									
75	,	5959	6571	6062	5359	8082	5858	4050	5052	7375	3636	6161	2830	5353									
76	,	6161	6767	6268	5353	8080	5458	4062	5458	7779	4852	5961	2828	5555									
77	,	5961	6767	4856	5359	8080	5860	5254	5464	7575	3640	5961	2828	5153									
78	,	5559	6373	5256	5961	8081	5858	4060	5254	7783	4044	5959	2828	5353									
79	,	5959	6571	5662	5363	8083	5258	5252	5456	7577	4242	5959	2828	5355									
80	,	5959	6565	5859	5961	8282	5460	5254	5054	6975	3242	5961	2828	5353									
81	,	5959	6773	5466	5359	8082	6262	5256	5052	7575	3640	5959	2828	5355									
82	,	5757	7173	4848	5363	8082	5264	5050	5258	7379	3644	6161	2828	5353									
83	,	5559	6767	6264	5563	8082	5866	5060	5462	7377	3244	5961	2828	5353									
84	,	5757	6767	4670	5959	8082	5454	5260	5464	7375	4040	5959	2828	5557									
85	,	5959	6565	4658	5959	8082	5664	5256	5462	7579	3642	5961	2828	5353									
86	,	5761	6169	4858	5353	8080	5860	5256	4862	7373	3646	5961	2830	5353									
87	,	5761	6571	5454	5363	8282	5456	4050	5464	7377	4242	5959	2828	5353									
88	,	5559	6567	6472	5959	8082	5462	4058	5454	7575	3238	6161	2828	5557									
89	,	5555	7197	4066	5353	8080	5858	4656	5054	7379	3640	5959	2828	5555									
90	,	5959	5367	5672	5355	8084	6466	5050	5058	7373	4046	6161	2828	5355									
91	,	5961	6369	4850	5353	8082	5858	5052	5060	7579	4040	5961	2828	5353									
92	,	5559	6169	5062	5361	8282	5660	5256	5256	7575	3644	6161	2830	5353									
93	,	5759	6567	5456	5959	8282	5860	5052	5254	7979	3844	5961	2828	5557									
94	,	5959	5169	5058	5153	8080	5858	5060	5050	7379	3642	6161	2828	5357									
95	,	5759	6973	5458	5555	8282	5864	5456	5054	7575	3640	6161	2828	5353									
96	,	5559	6769	4048	5357	8082	5262	4052	5050	7375	4042	5961	2828	5353									
97	,	5961	6971	5860	5559	8282	5862	5062	5054	7583	4648	5959	2828	5353									
98	,	5761	6365	5663	5563	8082	6464	5050	5052	7583	3642	5961	2828	5357									
99	,	5959	6769	6064	5359	8080	5260	4052	6264	7579	4246	6161	2828	5359									
100	,	5759	6771	4848	5357	8080	5860	5256	5456	7375	4040	5959	2830	5353									
101	,	5959	5595	4664	5155	8080	5864	5052	5054	7375	4046	5959	2828	5353
